# {'date': '2014-04-30 14_13_40.291000', 'exp_name': 'pupilExp', 'session': '001', 'participant': '12'}
timestamp	event	value
18.9076332369	screen_text	We will now perform a screen calibration.<br><br>Press a button to continue.
18.9076904907	flip	18.9076277051
1725.5730329	keypress	1
1725.53365834	flip	1725.53365668
1725.97755069	flip	1725.97754515
1726.68468402	flip	1726.68467655
1727.79111116	flip	1727.79110895
1727.96046581	flip	1727.96046332
1728.08686708	flip	1728.08686431
1728.18967368	flip	1728.18967119
1728.31126175	flip	1728.31125926
1728.42403771	flip	1728.42403494
1728.56821311	flip	1728.56821034
1728.71198608	flip	1728.71198304
1728.84968654	flip	1728.84968405
1728.94650998	flip	1728.94650749
1729.092078	flip	1729.09207496
1729.2122812	flip	1729.21227871
1729.33962618	flip	1729.3396237
1729.43849721	flip	1729.43849499
1729.54405337	flip	1729.54405116
1729.6375677	flip	1729.63756549
1729.73752931	flip	1729.73752682
1729.83758994	flip	1729.83758026
1729.94286703	flip	1729.94286482
1730.04965678	flip	1730.04965429
1730.16991114	flip	1730.16990865
1730.26930326	flip	1730.26930077
1730.36731104	flip	1730.36730883
1730.49271217	flip	1730.49270885
1730.58758455	flip	1730.5875815
1730.68837067	flip	1730.68836762
1730.78723947	flip	1730.78723643
1730.8871784	flip	1730.88717564
1731.04788357	flip	1731.04787389
1731.20872344	flip	1731.20872123
1731.30772418	flip	1731.30772141
1731.40787304	flip	1731.40787083
1731.50714954	flip	1731.50714705
1731.60752963	flip	1731.60752714
1731.70701357	flip	1731.70701136
1731.88597386	flip	1731.88597109
1731.9956783	flip	1731.99567609
1732.08758814	flip	1732.08758593
1732.18639887	flip	1732.18639638
1732.28656487	flip	1732.28656266
1732.38646812	flip	1732.38646591
1732.48643001	flip	1732.48642724
1732.5868798	flip	1732.58687731
1732.68680213	flip	1732.68679992
1732.83195943	flip	1732.83195611
1732.93603391	flip	1732.93603114
1733.02711066	flip	1733.02710845
1733.1268817	flip	1733.12687921
1733.2270112	flip	1733.22699931
1733.3827386	flip	1733.38273639
1733.50202297	flip	1733.50202076
1733.5975008	flip	1733.59749831
1733.69745384	flip	1733.69745162
1733.79702435	flip	1733.79702214
1733.8972974	flip	1733.89729491
1734.01323089	flip	1734.01322591
1734.18280902	flip	1734.18280653
1734.27859829	flip	1734.2785958
1734.37775116	flip	1734.37773926
1734.49505238	flip	1734.49504934
1734.59826363	flip	1734.59826114
